lat,long,time,rssi
12.9888623,80.2294727,2023-04-17T10:07:32.903Z,-44
12.9888623,80.2294727,2023-04-17T10:07:32.903Z,-44
12.9888624,80.2295198,2023-04-17T10:08:34.588Z,-35
12.9888624,80.2295198,2023-04-17T10:08:34.588Z,-35
12.9888624,80.2295198,2023-04-17T10:08:34.588Z,-35
12.9888647,80.2295327,2023-04-17T10:09:36.301Z,-43
12.9888647,80.2295327,2023-04-17T10:09:36.301Z,-43
12.9888647,80.2295327,2023-04-17T10:09:36.301Z,-43
12.9888326,80.2295143,2023-04-17T10:10:37.843Z,-58
12.9888326,80.2295143,2023-04-17T10:10:37.843Z,-58
12.9888326,80.2295143,2023-04-17T10:10:37.843Z,-58
12.9889091,80.2295383,2023-04-17T10:11:39.620Z,-34
12.9889091,80.2295383,2023-04-17T10:11:39.620Z,-34
12.9889091,80.2295383,2023-04-17T10:11:39.620Z,-34
12.9889174,80.2295416,2023-04-17T10:12:41.335Z,-60
12.9889174,80.2295416,2023-04-17T10:12:41.335Z,-60
12.9889174,80.2295416,2023-04-17T10:12:41.335Z,-60
12.9888344,80.2295124,2023-04-17T10:13:43.069Z,-61
12.9888344,80.2295124,2023-04-17T10:13:43.069Z,-61
12.9888344,80.2295124,2023-04-17T10:13:43.069Z,-61
12.9888533,80.2295182,2023-04-17T10:14:44.725Z,-44
12.9888533,80.2295182,2023-04-17T10:14:44.725Z,-44
12.9888533,80.2295182,2023-04-17T10:14:44.725Z,-44
12.9889069,80.2295694,2023-04-17T10:15:46.416Z,-58
12.9889069,80.2295694,2023-04-17T10:15:46.416Z,-58
12.9889069,80.2295694,2023-04-17T10:15:46.416Z,-58
12.98862694,80.22930973,2023-04-17T10:16:50.755Z,-46
